1	ANTONIO	uiysda	1298312
69	ARTHUR	cantor	10928731
70	ARTHUR	cantor	10928731
71	ARTHUR	cantor	10928731
72	ARTHUR	cantor	10928731
73	ARTHUR	cantor	10928731
74	ARTHUR	cantor	10928731
75	ARTHUR	cantor	10928731
76	ARTHUR	cantor	10928731
77	ARTHUR	cantor	10928731
78	ARTHUR	cantor	10928731
79	ARTHUR	cantor	10928731
80	ARTHUR	cantor	10928731
81	ARTHUR	cantor	10928731
82	ARTHUR	cantor	10928731
83	ARTHUR	cantor	10928731
84	ARTHUR	cantor	10928731
85	ARTHUR	cantor	10928731
86	ARTHUR	cantor	10928731
87	ARTHUR	cantor	10928731
88	ARTHUR	cantor	10928731
89	ARTHUR	cantor	10928731
90	ARTHUR	cantor	10928731
91	ARTHUR	cantor	10928731
92	ARTHUR	cantor	10928731
93	ARTHUR	cantor	10928731
94	ARTHUR	cantor	10928731
95	ARTHUR	cantor	10928731
96	ARTHUR	cantor	10928731
97	ARTHUR	cantor	10928731
98	ARTHUR	cantor	10928731
99	ARTHUR	cantor	10928731
100	ARTHUR	cantor	10928731
101	ARTHUR	cantor	10928731
102	ARTHUR	cantor	10928731
103	ARTHUR	cantor	10928731
104	ARTHUR	cantor	10928731
105	ARTHUR	cantor	10928731
106	ARTHUR	cantor	10928731
107	ARTHUR	cantor	10928731
108	ARTHUR	cantor	10928731
109	ARTHUR	cantor	10928731
110	BERNARDO	Patinador	98721
111	BERNARDO	Patinador	98721
112	BERNARDO	Patinador	98721
113	BERNARDO	Patinador	98721
114	BERNARDO	Patinador	98721
115	BERNARDO	Patinador	98721
116	BERNARDO	Patinador	98721
117	BERNARDO	Patinador	98721
118	BERNARDO	Patinador	98721
119	BERNARDO	Patinador	98721
120	BERNARDO	Patinador	98721
121	BERNARDO	Patinador	98721
122	BERNARDO	Patinador	98721
123	BERNARDO	Patinador	98721
124	BERNARDO	Patinador	98721
125	BERNARDO	Patinador	98721
126	BERNARDO	Patinador	98721
127	BERNARDO	Patinador	98721
128	BERNARDO	Patinador	98721
129	BERNARDO	Patinador	98721
130	BERNARDO	Patinador	98721
131	BERNARDO	Patinador	98721
132	BERNARDO	Patinador	98721
133	BERNARDO	Patinador	98721
134	BERNARDO	Patinador	98721
135	BERNARDO	Patinador	98721
136	BERNARDO	Patinador	98721
137	BERNARDO	Patinador	98721
138	BERNARDO	Patinador	98721
139	BERNARDO	Patinador	98721
140	BERNARDO	Patinador	98721
141	BERNARDO	Patinador	98721
142	BERNARDO	Patinador	98721
143	BERNARDO	Patinador	98721
144	BERNARDO	Patinador	98721
145	BERNARDO	Patinador	98721
146	BERNARDO	Patinador	98721
147	BERNARDO	Patinador	98721
148	BERNARDO	Patinador	98721
149	BERNARDO	Patinador	98721
150	BERNARDO	Patinador	98721
151	BERNARDO	Patinador	98721
152	BERNARDO	Patinador	98721
153	BERNARDO	Patinador	98721
154	BERNARDO	Patinador	98721
155	BERNARDO	Patinador	98721
156	BERNARDO	Patinador	98721
157	BERNARDO	Patinador	98721
158	BERNARDO	Patinador	98721
159	BERNARDO	Patinador	98721
160	BERNARDO	Patinador	98721
161	BERNARDO	Patinador	98721
162	BERNARDO	Patinador	98721
163	BERNARDO	Patinador	98721
164	BERNARDO	Patinador	98721
165	BERNARDO	Patinador	98721
166	BERNARDO	Patinador	98721
167	BERNARDO	Patinador	98721
168	BERNARDO	Patinador	98721
169	BERNARDO	Patinador	98721
170	BERNARDO	Patinador	98721
171	BERNARDO	Patinador	98721
172	BERNARDO	Patinador	98721
173	BERNARDO	Patinador	98721
174	BERNARDO	Patinador	98721
175	BERNARDO	Patinador	98721
176	BERNARDO	Patinador	98721
177	BERNARDO	Patinador	98721
178	BERNARDO	Patinador	98721
179	BERNARDO	Patinador	98721
180	BERNARDO	Patinador	98721
181	BERNARDO	Patinador	98721
182	BERNARDO	Patinador	98721
183	BERNARDO	Patinador	98721
184	BERNARDO	Patinador	98721
185	BERNARDO	Patinador	98721
186	BERNARDO	Patinador	98721
187	BERNARDO	Patinador	98721
188	BERNARDO	Patinador	98721
189	BERNARDO	Patinador	98721
190	BERNARDO	Patinador	98721
191	BERNARDO	Patinador	98721
192	BERNARDO	Patinador	98721
193	BERNARDO	Patinador	98721
194	BERNARDO	Patinador	98721
195	BERNARDO	Patinador	98721
196	BERNARDO	Patinador	98721
197	BERNARDO	Patinador	98721
198	BERNARDO	Patinador	98721
199	BERNARDO	Patinador	98721
200	BERNARDO	Patinador	98721
201	BERNARDO	Patinador	98721
202	BERNARDO	Patinador	98721
203	BERNARDO	Patinador	98721
204	BERNARDO	Patinador	98721
205	BERNARDO	Patinador	98721
206	BERNARDO	Patinador	98721
207	BERNARDO	Patinador	98721
208	BERNARDO	Patinador	98721
209	BERNARDO	Patinador	98721
210	BERNARDO	Patinador	98721
211	BERNARDO	Patinador	98721
212	BERNARDO	Patinador	98721
213	BERNARDO	Patinador	98721
214	BERNARDO	Patinador	98721
215	BERNARDO	Patinador	98721
216	BERNARDO	Patinador	98721
217	BERNARDO	Patinador	98721
218	BRUNO	goleiro	91237
219	BRUNO	goleiro	91237
220	BRUNO	goleiro	91237
221	BRUNO	goleiro	91237
222	BRUNO	goleiro	91237
223	BRUNO	goleiro	91237
224	BRUNO	goleiro	91237
225	BRUNO	goleiro	91237
226	BRUNO	goleiro	91237
227	BRUNO	goleiro	91237
228	BRUNO	goleiro	91237
229	BRUNO	goleiro	91237
230	BRUNO	goleiro	91237
231	BRUNO	goleiro	91237
232	BRUNO	goleiro	91237
233	BRUNO	goleiro	91237
234	BRUNO	goleiro	91237
235	BRUNO	goleiro	91237
236	BRUNO	goleiro	91237
237	BRUNO	goleiro	91237
238	BRUNO	goleiro	91237
239	BRUNO	goleiro	91237
240	BRUNO	goleiro	91237
241	BRUNO	goleiro	91237
242	BRUNO	goleiro	91237
243	BRUNO	goleiro	91237
244	BRUNO	goleiro	91237
245	BRUNO	goleiro	91237
246	BRUNO	goleiro	91237
247	BRUNO	goleiro	91237
248	BRUNO	goleiro	91237
249	BRUNO	goleiro	91237
250	BRUNO	goleiro	91237
251	BRUNO	goleiro	91237
252	BRUNO	goleiro	91237
253	BRUNO	goleiro	91237
254	BRUNO	goleiro	91237
255	BRUNO	goleiro	91237
256	BRUNO	goleiro	91237
257	BRUNO	goleiro	91237
258	BRUNO	goleiro	91237
259	BRUNO	goleiro	91237
260	BRUNO	goleiro	91237
261	BRUNO	goleiro	91237
262	BRUNO	goleiro	91237
263	BRUNO	goleiro	91237
264	BRUNO	goleiro	91237
265	BRUNO	goleiro	91237
266	BRUNO	goleiro	91237
267	BRUNO	goleiro	91237
268	BRUNO	goleiro	91237
269	BRUNO	goleiro	91237
270	BRUNO	goleiro	91237
271	BRUNO	goleiro	91237
272	BRUNO	goleiro	91237
273	BRUNO	goleiro	91237
274	BRUNO	goleiro	91237
275	BRUNO	goleiro	91237
276	BRUNO	goleiro	91237
277	BRUNO	goleiro	91237
278	BRUNO	goleiro	91237
279	BRUNO	goleiro	91237
280	BRUNO	goleiro	91237
281	BRUNO	goleiro	91237
282	BRUNO	goleiro	91237
283	BRUNO	goleiro	91237
284	BRUNO	goleiro	91237
285	BRUNO	goleiro	91237
286	BRUNO	goleiro	91237
287	BRUNO	goleiro	91237
288	BRUNO	goleiro	91237
289	BRUNO	goleiro	91237
290	BRUNO	goleiro	91237
291	BRUNO	goleiro	91237
292	BRUNO	goleiro	91237
293	BRUNO	goleiro	91237
294	BRUNO	goleiro	91237
295	BRUNO	goleiro	91237
296	BRUNO	goleiro	91237
297	BRUNO	goleiro	91237
298	BRUNO	goleiro	91237
299	BRUNO	goleiro	91237
300	BRUNO	goleiro	91237
301	BRUNO	goleiro	91237
302	BRUNO	goleiro	91237
303	BRUNO	goleiro	91237
304	BRUNO	goleiro	91237
305	BRUNO	goleiro	91237
306	BRUNO	goleiro	91237
307	BRUNO	goleiro	91237
308	BRUNO	goleiro	91237
309	BRUNO	goleiro	91237
310	BRUNO	goleiro	91237
311	BRUNO	goleiro	91237
312	BRUNO	goleiro	91237
313	BRUNO	goleiro	91237
314	BRUNO	goleiro	91237
315	BRUNO	goleiro	91237
316	BRUNO	goleiro	91237
317	BRUNO	goleiro	91237
318	BRUNO	goleiro	91237
319	BRUNO	goleiro	91237
320	BRUNO	goleiro	91237
321	BRUNO	goleiro	91237
322	BRUNO	goleiro	91237
323	BRUNO	goleiro	91237
324	BRUNO	goleiro	91237
325	BRUNO	goleiro	91237
326	NATHANIEL	pedreiro	12861284
327	NATHANIEL	pedreiro	12861284
328	NATHANIEL	pedreiro	12861284
329	NATHANIEL	pedreiro	12861284
330	NATHANIEL	pedreiro	12861284
331	NATHANIEL	pedreiro	12861284
332	NATHANIEL	pedreiro	12861284
333	NATHANIEL	pedreiro	12861284
334	NATHANIEL	pedreiro	12861284
335	NATHANIEL	pedreiro	12861284
336	NATHANIEL	pedreiro	12861284
337	NATHANIEL	pedreiro	12861284
338	NATHANIEL	pedreiro	12861284
339	NATHANIEL	pedreiro	12861284
340	NATHANIEL	pedreiro	12861284
341	NATHANIEL	pedreiro	12861284
342	NATHANIEL	pedreiro	12861284
343	NATHANIEL	pedreiro	12861284
344	NATHANIEL	pedreiro	12861284
345	NATHANIEL	pedreiro	12861284
346	NATHANIEL	pedreiro	12861284
347	NATHANIEL	pedreiro	12861284
348	NATHANIEL	pedreiro	12861284
349	NATHANIEL	pedreiro	12861284
350	NATHANIEL	pedreiro	12861284
351	NATHANIEL	pedreiro	12861284
352	NATHANIEL	pedreiro	12861284
353	NATHANIEL	pedreiro	12861284
354	NATHANIEL	pedreiro	12861284
355	NATHANIEL	pedreiro	12861284
356	NATHANIEL	pedreiro	12861284
357	NATHANIEL	pedreiro	12861284
358	NATHANIEL	pedreiro	12861284
359	NATHANIEL	pedreiro	12861284
360	NATHANIEL	pedreiro	12861284
361	NATHANIEL	pedreiro	12861284
362	NATHANIEL	pedreiro	12861284
363	NATHANIEL	pedreiro	12861284
364	NATHANIEL	pedreiro	12861284
365	NATHANIEL	pedreiro	12861284
366	NATHANIEL	pedreiro	12861284
367	NATHANIEL	pedreiro	12861284
368	NATHANIEL	pedreiro	12861284
369	NATHANIEL	pedreiro	12861284
370	NATHANIEL	pedreiro	12861284
371	NATHANIEL	pedreiro	12861284
372	NATHANIEL	pedreiro	12861284
373	NATHANIEL	pedreiro	12861284
374	NATHANIEL	pedreiro	12861284
375	NATHANIEL	pedreiro	12861284
376	NATHANIEL	pedreiro	12861284
377	NATHANIEL	pedreiro	12861284
378	NATHANIEL	pedreiro	12861284
379	NATHANIEL	pedreiro	12861284
380	NATHANIEL	pedreiro	12861284
381	NATHANIEL	pedreiro	12861284
382	NATHANIEL	pedreiro	12861284
383	NATHANIEL	pedreiro	12861284
384	NATHANIEL	pedreiro	12861284
385	NATHANIEL	pedreiro	12861284
386	NATHANIEL	pedreiro	12861284
387	NATHANIEL	pedreiro	12861284
388	NATHANIEL	pedreiro	12861284
389	NATHANIEL	pedreiro	12861284
390	NATHANIEL	pedreiro	12861284
391	NATHANIEL	pedreiro	12861284
392	NATHANIEL	pedreiro	12861284
393	NATHANIEL	pedreiro	12861284
394	NATHANIEL	pedreiro	12861284
395	NATHANIEL	pedreiro	12861284
396	NATHANIEL	pedreiro	12861284
397	NATHANIEL	pedreiro	12861284
398	NATHANIEL	pedreiro	12861284
399	NATHANIEL	pedreiro	12861284
400	NATHANIEL	pedreiro	12861284
401	NATHANIEL	pedreiro	12861284
402	NATHANIEL	pedreiro	12861284
403	NATHANIEL	pedreiro	12861284
404	NATHANIEL	pedreiro	12861284
405	NATHANIEL	pedreiro	12861284
406	NATHANIEL	pedreiro	12861284
407	NATHANIEL	pedreiro	12861284
408	NATHANIEL	pedreiro	12861284
409	NATHANIEL	pedreiro	12861284
410	NATHANIEL	pedreiro	12861284
411	NATHANIEL	pedreiro	12861284
412	NATHANIEL	pedreiro	12861284
413	NATHANIEL	pedreiro	12861284
414	NATHANIEL	pedreiro	12861284
415	NATHANIEL	pedreiro	12861284
416	NATHANIEL	pedreiro	12861284
417	NATHANIEL	pedreiro	12861284
418	NATHANIEL	pedreiro	12861284
419	NATHANIEL	pedreiro	12861284
420	NATHANIEL	pedreiro	12861284
421	NATHANIEL	pedreiro	12861284
422	NATHANIEL	pedreiro	12861284
423	NATHANIEL	pedreiro	12861284
424	NATHANIEL	pedreiro	12861284
425	NATHANIEL	pedreiro	12861284
426	NATHANIEL	pedreiro	12861284
427	NATHANIEL	pedreiro	12861284
428	NATHANIEL	pedreiro	12861284
429	NATHANIEL	pedreiro	12861284
430	NATHANIEL	pedreiro	12861284
431	NATHANIEL	pedreiro	12861284
432	NATHANIEL	pedreiro	12861284
433	NATHANIEL	pedreiro	12861284
